,0,label
643,"[1, 60, 0]",320
644,"[1, 60, 0]",320
645,"[1, 60, 0]",320
646,"[1, 60, 0]",320
647,"[1, 60, 0]",320
648,"[1, 60, 0]",320
649,"[1, 60, 0]",320
650,"[1, 60, 0]",320
651,"[1, 60, 0]",320
652,"[1, 60, 0]",320
653,"[1, 60, 0]",320
654,"[1, 60, 0]",320
655,"[1, 60, 0]",320
656,"[1, 60, 0]",320
657,"[1, 60, 0]",320
658,"[1, 60, 0]",320
659,"[1, 60, 0]",320
660,"[1, 60, 0]",320
661,"[1, 60, 0]",320
662,"[1, 60, 0]",320
663,"[1, 60, 0]",320
664,"[1, 60, 0]",320
665,"[1, 60, 0]",320
666,"[1, 60, 0]",320
667,"[1, 60, 0]",320
668,"[1, 60, 0]",320
669,"[1, 60, 0]",320
670,"[1, 60, 0]",320
671,"[1, 60, 0]",320
672,"[1, 60, 0]",320
673,"[1, 60, 0]",320
674,"[1, 60, 0]",320
675,"[1, 60, 0]",320
676,"[1, 60, 0]",320
677,"[1, 60, 0]",320
678,"[1, 60, 0]",320
679,"[1, 60, 0]",320
680,"[1, 60, 0]",320
681,"[1, 60, 0]",320
682,"[1, 60, 0]",320
683,"[1, 60, 0]",320
684,"[1, 60, 0]",320
685,"[1, 60, 0]",320
686,"[1, 60, 0]",320
687,"[1, 60, 0]",320
688,"[1, 60, 0]",320
689,"[1, 60, 0]",320
690,"[1, 60, 0]",320
691,"[1, 60, 0]",320
692,"[1, 60, 0]",320
693,"[1, 60, 0]",320
694,"[1, 60, 0]",320
695,"[1, 60, 0]",320
696,"[1, 60, 0]",320
697,"[1, 60, 0]",320
698,"[1, 60, 0]",320
699,"[1, 60, 0]",320
700,"[1, 60, 0]",321
701,"[1, 60, 0]",321
702,"[1, 60, 0]",321
703,"[1, 60, 0]",321
704,"[1, 60, 0]",321
705,"[1, 60, 0]",321
706,"[1, 60, 0]",321
707,"[1, 60, 0]",321
708,"[1, 60, 0]",321
709,"[1, 60, 0]",321
710,"[1, 60, 0]",321
711,"[1, 60, 0]",321
712,"[1, 60, 0]",321
713,"[1, 60, 0]",321
714,"[1, 60, 0]",321
715,"[1, 60, 0]",321
716,"[1, 60, 0]",321
717,"[1, 60, 0]",321
718,"[1, 60, 0]",321
719,"[1, 60, 0]",321
720,"[1, 60, 0]",321
721,"[1, 60, 0]",321
722,"[1, 60, 0]",321
723,"[1, 60, 0]",321
724,"[1, 60, 0]",321
725,"[1, 60, 0]",321
726,"[1, 60, 0]",321
727,"[1, 60, 0]",321
728,"[1, 60, 0]",321
729,"[1, 60, 0]",321
730,"[1, 60, 0]",321
731,"[1, 60, 0]",321
732,"[1, 60, 0]",321
733,"[1, 60, 0]",321
734,"[1, 60, 0]",321
735,"[1, 60, 0]",321
736,"[1, 60, 0]",321
737,"[1, 60, 0]",321
738,"[1, 60, 0]",321
739,"[1, 60, 0]",321
740,"[1, 60, 0]",321
741,"[1, 60, 0]",321
742,"[1, 60, 0]",321
743,"[1, 60, 0]",321
744,"[1, 60, 0]",321
745,"[1, 60, 0]",321
746,"[1, 60, 0]",321
