,0,1,2,3,4,label
167,"[1, 1380, 0]","[1, 1380, 0]","[1, 1380, 0]","[1, 252, 0]","[1, 32, 0]",211
168,"[1, 254, 0]","[0, 532, 30]","[0, 51, 30]","[0, 51, 30]","[0, 32, 30]",211
169,"[1, 641, 0]","[0, 192, 51]","[0, 1380, 51]","[0, 51, 51]","[0, 1380, 51]",211
170,"[1, 641, 0]","[0, 192, 31]","[0, 1380, 31]","[0, 51, 31]","[0, 1380, 31]",211
171,"[1, 201, 0]","[1, 115, 0]","[1, 55, 0]","[1, 91, 0]","[1, 55, 1]",211
172,"[1, 143, 0]","[1, 1147, 0]","[1, 1380, 154]","[0, 20, 159]","[0, 159, 159]",211
173,"[1, 143, 0]","[1, 1147, 0]","[0, 20, 13]","[1, 98, 98]","[1, 98, 326]",211
174,"[1, 252, 0]","[1, 1380, 0]","[0, 32, 0]","[0, 32, 1]","[1, 1380, 11]",211
175,"[1, 20, 0]","[1, 20, 0]","[1, 1380, 0]","[1, 1380, 0]","[1, 1380, 0]",211
176,"[1, 1305, 0]","[1, 98, 20]","[0, 51, 45]","[0, 20, 45]","[0, 191, 45]",211
177,"[1, 254, 0]","[0, 20, 50]","[0, 532, 50]","[0, 51, 50]","[0, 51, 50]",211
178,"[1, 641, 0]","[0, 20, 62]","[0, 541, 62]","[0, 192, 62]","[0, 1380, 62]",211
179,"[1, 201, 0]","[1, 55, 0]","[1, 91, 1]","[1, 55, 7]","[1, 115, 7]",211
180,"[1, 254, 0]","[0, 532, 27]","[0, 51, 27]","[0, 51, 27]","[0, 32, 27]",211
181,"[1, 20, 0]","[1, 20, 2]","[1, 1380, 7]","[1, 1380, 7]","[0, 20, 7]",211
182,"[1, 192, 0]","[1, 1380, 1]","[1, 51, 1]","[0, 20, 1]","[1, 1380, 1]",211
183,"[1, 20, 0]","[1, 20, 0]","[1, 1380, 0]","[1, 1380, 0]","[1, 1380, 0]",211
184,"[1, 201, 0]","[1, 115, 0]","[1, 55, 0]","[1, 91, 0]","[1, 55, 0]",211
185,"[1, 192, 0]","[1, 1380, 1]","[0, 20, 1]","[1, 51, 1]","[1, 1380, 1]",211
186,"[1, 32, 0]","[0, 32, 12]","[1, 20, 12]","[1, 1915, 13]","[0, 20, 31]",211
187,"[1, 201, 0]","[1, 55, 1]","[1, 115, 1]","[1, 91, 2]","[1, 55, 2]",211
188,"[1, 32, 0]","[0, 20, 0]","[0, 1915, 1]","[1, 20, 28]","[1, 20, 30]",211
189,"[1, 251, 0]","[0, 32, 1]","[1, 1380, 3]","[0, 32, 3]","[1, 1380, 10]",211
190,"[1, 1380, 0]","[1, 98, 31]","[0, 20, 42]","[0, 159, 42]","[0, 325, 42]",211
191,"[1, 641, 0]","[0, 192, 76]","[0, 1380, 76]","[0, 51, 76]","[0, 1380, 76]",211
192,"[1, 20, 0]","[1, 192, 6]","[1, 1380, 6]","[1, 51, 6]","[1, 1380, 6]",211
193,"[1, 32, 0]","[0, 20, 1]","[0, 1915, 2]","[1, 20, 21]","[1, 20, 21]",211
194,"[1, 20, 0]","[1, 20, 1]","[1, 159, 3]","[1, 325, 3]","[1, 51, 3]",211
