,0,1,2,3,4,5,6,7,8,9,label
82,"[1, 201, 0]","[1, 55, 0]","[1, 91, 0]","[1, 55, 0]","[1, 115, 2]","[0, 20, 25]","[0, 159, 32]","[0, 317, 32]","[0, 51, 32]","[1, 20, 32]",210
83,"[1, 201, 0]","[1, 115, 0]","[1, 55, 0]","[1, 91, 0]","[1, 55, 1]","[0, 20, 34]","[0, 182, 34]","[0, 318, 34]","[0, 51, 34]","[1, 20, 34]",210
84,"[1, 32, 0]","[0, 32, 12]","[1, 20, 12]","[1, 693, 12]","[0, 20, 28]","[0, 1380, 31]","[0, 1380, 31]","[1, 20, 31]","[0, 524, 31]","[1, 84, 37]",210
85,"[1, 20, 0]","[1, 20, 3]","[1, 20, 3]","[1, 20, 3]","[1, 20, 3]","[1, 159, 5]","[1, 314, 5]","[1, 51, 5]","[0, 20, 6]","[0, 143, 68]",210
86,"[1, 201, 0]","[1, 91, 1]","[1, 55, 1]","[1, 55, 1]","[1, 115, 2]","[0, 20, 13]","[0, 182, 15]","[0, 314, 15]","[0, 51, 15]","[1, 20, 15]",210
87,"[1, 201, 0]","[1, 55, 0]","[1, 115, 0]","[1, 91, 1]","[1, 55, 2]","[1, 143, 50]","[1, 1145, 50]","[1, 1380, 224]","[0, 20, 232]","[0, 182, 232]",210
88,"[1, 693, 0]","[0, 20, 55]","[0, 1380, 55]","[0, 1380, 55]","[0, 524, 55]","[0, 524, 55]","[0, 32, 55]","[1, 32, 55]","[1, 84, 65]","[1, 190, 65]",210
89,"[1, 693, 0]","[0, 1380, 41]","[0, 1380, 41]","[0, 524, 41]","[0, 524, 41]","[0, 32, 41]","[1, 32, 41]","[1, 84, 49]","[1, 190, 49]","[1, 407, 49]",210
90,"[1, 532, 0]","[1, 51, 0]","[1, 20, 0]","[0, 20, 0]","[0, 51, 1]","[1, 192, 14]","[1, 1380, 14]","[1, 51, 14]","[1, 1380, 14]","[1, 505, 14]",210
91,"[1, 641, 0]","[0, 523, 14]","[0, 20, 14]","[0, 541, 14]","[0, 192, 14]","[0, 1380, 14]","[0, 51, 14]","[0, 1380, 14]","[0, 546, 14]","[0, 51, 14]",210
92,"[1, 254, 0]","[0, 20, 43]","[0, 541, 43]","[0, 541, 43]","[0, 32, 43]","[1, 32, 43]","[1, 51, 44]","[1, 407, 51]","[0, 20, 56]","[0, 20, 63]",210
